YEARS,CO2EQ
1765,281.69873
1766,281.69873
1767,281.69873
1768,281.69873
1769,281.69873
1770,281.69873
1771,281.69873
1772,281.69873
1773,281.69873
1774,281.69873
1775,281.69873
1776,281.69873
1777,281.69873
1778,281.69873
1779,281.69873
1780,281.69873
1781,281.69873
1782,281.69873
1783,281.69873
1784,281.69873
1785,281.69873
1786,281.69873
1787,281.69873
1788,281.69873
1789,281.69873
1790,281.69873
1791,281.69873
1792,281.69873
1793,281.69873
1794,281.69873
1795,281.69873
1796,281.69873
1797,281.69873
1798,281.69873
1799,281.69873
1800,281.7953
1801,281.89146
1802,281.96434
1803,282.06097
1804,282.20419
1805,282.32288
1806,282.41845
1807,282.51428
1808,282.63057
1809,282.73903
1810,282.8364
1811,282.90004
1812,282.9574
1813,283.03571
1814,283.11463
1815,283.17382
1816,283.21462
1817,283.25897
1818,283.32685
1819,283.4149
1820,283.49758
1821,283.57508
1822,283.62677
1823,283.65484
1824,283.70645
1825,283.76004
1826,283.8156
1827,283.87272
1828,283.93097
1829,284.0128
1830,283.96219
1831,283.89979
1832,283.8817
1833,283.77007
1834,283.66423
1835,283.55955
1836,283.36933
1837,283.20262
1838,283.15294
1839,283.15861
1840,283.1704
1841,283.21078
1842,283.30585
1843,283.42935
1844,283.57864
1845,283.71288
1846,283.88515
1847,284.05105
1848,284.22002
1849,284.38831
1850,284.47783
1851,284.6785
1852,284.4941
1853,284.2542
1854,284.31698
1855,284.37752
1856,284.48655
1857,284.57144
1858,284.75751
1859,284.87162
1860,284.54001
1861,283.90984
1862,284.24023
1863,284.82703
1864,284.92869
1865,284.90678
1866,284.53849
1867,284.13273
1868,284.15643
1869,284.50991
1870,284.76049
1871,284.4221
1872,283.27687
1873,282.35666
1874,282.41152
1875,282.73787
1876,283.19648
1877,283.93288
1878,284.51148
1879,284.74683
1880,284.54128
1881,284.58021
1882,285.21573
1883,285.70213
1884,286.0759
1885,286.62046
1886,287.06145
1887,287.22534
1888,286.96157
1889,286.96533
1890,287.04595
1891,286.86678
1892,286.80077
1893,286.76394
1894,286.66071
1895,286.45183
1896,286.39693
1897,286.48722
1898,286.5877
1899,286.67626
1900,286.79938
1901,286.77043
1902,286.76808
1903,286.79694
1904,286.84493
1905,287.01406
1906,287.05312
1907,287.07137
1908,287.53578
1909,288.17921
1910,288.48048
1911,288.96295
1912,289.66408
1913,290.20208
1914,290.93296
1915,291.78371
1916,292.2385
1917,292.54437
1918,292.99248
1919,293.81347
1920,294.37098
1921,294.95151
1922,295.68377
1923,295.58615
1924,295.65484
1925,296.25067
1926,296.81103
1927,297.14059
1928,297.49651
1929,297.96527
1930,298.61802
1931,299.6497
1932,300.71564
1933,301.45026
1934,301.83497
1935,302.24383
1936,302.53336
1937,302.82266
1938,303.56161
1939,304.10605
1940,304.10083
1941,303.847
1942,303.56374
1943,303.42564
1944,303.26736
1945,303.23386
1946,303.00439
1947,302.45801
1948,302.01134
1949,301.9696
1950,301.92017
1951,300.87693
1952,299.88451
1953,299.76378
1954,299.76984
1955,299.80994
1956,299.87995
1957,300.01814
1958,300.42588
1959,301.36642
1960,302.54075
1961,302.71708
1962,302.62276
1963,303.11374
1964,303.60921
1965,304.41983
1966,305.56389
1967,306.5942
1968,307.80774
1969,309.59802
1970,311.80753
1971,314.08678
1972,316.19275
1973,318.11545
1974,319.5999
1975,320.88163
1976,322.19127
1977,323.87398
1978,326.20992
1979,328.74045
1980,330.86448
1981,332.22762
1982,333.03368
1983,334.24432
1984,336.14519
1985,338.19811
1986,340.22271
1987,342.40873
1988,345.08452
1989,347.72931
1990,349.91054
1991,351.18907
1992,351.54763
1993,352.27475
1994,353.73698
1995,355.93868
1996,358.2628
1997,359.83008
1998,361.47123
1999,363.28251
2000,364.36712
2001,365.65347
2002,367.97846
2003,370.51984
2004,372.78524
2005,375.14774
2006,377.9461
2007,380.85653
2008,383.83367
2009,386.97977
2010,390.16358
2011,393.30729
2012,396.50327
2013,399.74953
2014,403.0079
2015,406.30368
2016,409.63408
2017,412.99225
2018,416.37558
2019,419.82976
2020,423.2685
2021,426.57304
2022,429.85219
2023,433.18135
2024,436.54545
2025,439.94925
2026,443.3933
2027,446.87097
2028,450.37214
2029,453.89223
2030,457.45837
2031,461.09933
2032,464.72715
2033,468.29171
2034,471.84006
2035,475.38306
2036,478.92388
2037,482.46212
2038,485.98924
2039,489.49313
2040,492.99769
2041,496.53319
2042,500.02452
2043,503.4167
2044,506.74797
2045,510.04827
2046,513.33668
2047,516.62264
2048,519.9107
2049,523.19569
2050,526.37589
2051,529.35342
2052,532.17795
2053,534.90801
2054,537.53828
2055,540.07165
2056,542.53604
2057,544.94887
2058,547.31846
2059,549.6494
2060,551.91183
2061,554.07021
2062,556.12332
2063,558.07691
2064,559.93397
2065,561.68202
2066,563.32208
2067,564.88122
2068,566.37634
2069,567.81504
2070,569.17631
2071,570.42763
2072,571.56163
2073,572.57863
2074,573.47962
2075,574.26681
2076,574.92725
2077,575.4613
2078,575.89726
2079,576.25987
2080,576.42655
2081,576.26179
2082,576.04369
2083,575.9732
2084,575.96505
2085,576.01015
2086,576.10176
2087,576.21926
2088,576.35645
2089,576.53478
2090,576.76615
2091,577.05342
2092,577.39691
2093,577.78563
2094,578.20286
2095,578.6387
2096,579.08959
2097,579.55387
2098,580.01489
2099,580.46977
2100,580.90945
2101,581.31548
2102,581.72237
2103,582.1438
2104,582.55276
2105,582.93374
2106,583.2782
2107,583.58373
2108,583.84973
2109,584.06033
2110,584.21345
2111,584.33458
2112,584.44769
2113,584.56656
2114,584.69297
2115,584.8172
2116,584.92375
2117,585.00388
2118,585.05518
2119,585.07713
2120,585.05381
2121,584.98316
2122,584.90271
2123,584.83964
2124,584.7994
2125,584.78426
2126,584.78424
2127,584.78334
2128,584.77272
2129,584.74985
2130,584.71411
2131,584.64948
2132,584.55565
2133,584.45992
2134,584.3783
2135,584.3173
2136,584.27945
2137,584.2553
2138,584.22957
2139,584.1937
2140,584.14544
2141,584.08436
2142,583.99445
2143,583.87352
2144,583.74736
2145,583.63233
2146,583.53519
2147,583.45869
2148,583.39357
2149,583.32469
2150,583.28779
2151,583.28779
2152,583.28779
2153,583.28779
2154,583.28779
2155,583.28779
2156,583.28779
2157,583.28779
2158,583.28779
2159,583.28779
2160,583.28779
2161,583.28779
2162,583.28779
2163,583.28779
2164,583.28779
2165,583.28779
2166,583.28779
2167,583.28779
2168,583.28779
2169,583.28779
2170,583.28779
2171,583.28779
2172,583.28779
2173,583.28779
2174,583.28779
2175,583.28779
2176,583.28779
2177,583.28779
2178,583.28779
2179,583.28779
2180,583.28779
2181,583.28779
2182,583.28779
2183,583.28779
2184,583.28779
2185,583.28779
2186,583.28779
2187,583.28779
2188,583.28779
2189,583.28779
2190,583.28779
2191,583.28779
2192,583.28779
2193,583.28779
2194,583.28779
2195,583.28779
2196,583.28779
2197,583.28779
2198,583.28779
2199,583.28779
2200,583.28779
2201,583.28779
2202,583.28779
2203,583.28779
2204,583.28779
2205,583.28779
2206,583.28779
2207,583.28779
2208,583.28779
2209,583.28779
2210,583.28779
2211,583.28779
2212,583.28779
2213,583.28779
2214,583.28779
2215,583.28779
2216,583.28779
2217,583.28779
2218,583.28779
2219,583.28779
2220,583.28779
2221,583.28779
2222,583.28779
2223,583.28779
2224,583.28779
2225,583.28779
2226,583.28779
2227,583.28779
2228,583.28779
2229,583.28779
2230,583.28779
2231,583.28779
2232,583.28779
2233,583.28779
2234,583.28779
2235,583.28779
2236,583.28779
2237,583.28779
2238,583.28779
2239,583.28779
2240,583.28779
2241,583.28779
2242,583.28779
2243,583.28779
2244,583.28779
2245,583.28779
2246,583.28779
2247,583.28779
2248,583.28779
2249,583.28779
2250,583.28779
2251,583.28779
2252,583.28779
2253,583.28779
2254,583.28779
2255,583.28779
2256,583.28779
2257,583.28779
2258,583.28779
2259,583.28779
2260,583.28779
2261,583.28779
2262,583.28779
2263,583.28779
2264,583.28779
2265,583.28779
2266,583.28779
2267,583.28779
2268,583.28779
2269,583.28779
2270,583.28779
2271,583.28779
2272,583.28779
2273,583.28779
2274,583.28779
2275,583.28779
2276,583.28779
2277,583.28779
2278,583.28779
2279,583.28779
2280,583.28779
2281,583.28779
2282,583.28779
2283,583.28779
2284,583.28779
2285,583.28779
2286,583.28779
2287,583.28779
2288,583.28779
2289,583.28779
2290,583.28779
2291,583.28779
2292,583.28779
2293,583.28779
2294,583.28779
2295,583.28779
2296,583.28779
2297,583.28779
2298,583.28779
2299,583.28779
2300,583.28779
2301,583.28779
2302,583.28779
2303,583.28779
2304,583.28779
2305,583.28779
2306,583.28779
2307,583.28779
2308,583.28779
2309,583.28779
2310,583.28779
2311,583.28779
2312,583.28779
2313,583.28779
2314,583.28779
2315,583.28779
2316,583.28779
2317,583.28779
2318,583.28779
2319,583.28779
2320,583.28779
2321,583.28779
2322,583.28779
2323,583.28779
2324,583.28779
2325,583.28779
2326,583.28779
2327,583.28779
2328,583.28779
2329,583.28779
2330,583.28779
2331,583.28779
2332,583.28779
2333,583.28779
2334,583.28779
2335,583.28779
2336,583.28779
2337,583.28779
2338,583.28779
2339,583.28779
2340,583.28779
2341,583.28779
2342,583.28779
2343,583.28779
2344,583.28779
2345,583.28779
2346,583.28779
2347,583.28779
2348,583.28779
2349,583.28779
2350,583.28779
2351,583.28779
2352,583.28779
2353,583.28779
2354,583.28779
2355,583.28779
2356,583.28779
2357,583.28779
2358,583.28779
2359,583.28779
2360,583.28779
2361,583.28779
2362,583.28779
2363,583.28779
2364,583.28779
2365,583.28779
2366,583.28779
2367,583.28779
2368,583.28779
2369,583.28779
2370,583.28779
2371,583.28779
2372,583.28779
2373,583.28779
2374,583.28779
2375,583.28779
2376,583.28779
2377,583.28779
2378,583.28779
2379,583.28779
2380,583.28779
2381,583.28779
2382,583.28779
2383,583.28779
2384,583.28779
2385,583.28779
2386,583.28779
2387,583.28779
2388,583.28779
2389,583.28779
2390,583.28779
2391,583.28779
2392,583.28779
2393,583.28779
2394,583.28779
2395,583.28779
2396,583.28779
2397,583.28779
2398,583.28779
2399,583.28779
2400,583.28779